# Elements:
C	C(13)	H	H+	N	O	O(18)	S
	C					O	
12	13.003355	1.007825	1.007276	14.003074	15.994915	17.99916	31.97207

# Masses:
C	C(13)	H	H+	N	O	O(18)	S	Mass	Name
6	0	8	1	0	1	0	0	97.064791	C6H8O H+ 
7	0	12	1	0	0	0	0	97.101176	C7H12 H+ 
0	0	0	0	0	0	0	0	97.94517517	 
4	0	3	1	1	2	0	0	98.023655	C4H3NO2 H+ 
5	0	7	1	1	1	0	0	98.06004	C5H7NO H+ 
6	0	11	1	1	0	0	0	98.096425	C6H11N H+ 
0	0	0	0	0	0	0	0	98.94984436	 
5	0	6	1	0	2	0	0	99.044056	C5H6O2 H+ 
6	0	10	1	0	1	0	0	99.080441	C6H10O H+ 
4	0	5	1	1	2	0	0	100.039305	C4H5NO2 H+ 
5	0	9	1	1	1	0	0	100.07569	C5H9NO H+ 
6	0	13	1	1	0	0	0	100.112075	C6H13N H+ 
4	0	4	1	0	3	0	0	101.023321	C4H4O3 H+ 
5	0	8	1	0	2	0	0	101.059706	C5H8O2 H+ 
6	0	12	1	0	1	0	0	101.096091	C6H12O H+ 
3	0	3	1	1	3	0	0	102.01857	C3H3NO3 H+ 
4	0	7	1	1	2	0	0	102.054955	C4H7NO2 H+ 
5	0	11	1	1	1	0	0	102.09134	C5H11NO H+ 
6	0	15	1	1	0	0	0	102.127725	C6H15N H+ 
4	0	6	1	0	3	0	0	103.038971	C4H6O3 H+ 
8	0	6	1	0	0	0	0	103.054226	C8H6 H+ 
5	0	10	1	0	2	0	0	103.075356	C5H10O2 H+ 
3	0	5	1	1	3	0	0	104.03422	C3H5NO3 H+ 
7	0	5	1	1	0	0	0	104.049475	C7H5N H+ 
4	0	9	1	1	2	0	0	104.070605	C4H9NO2 H+ 
5	0	13	1	1	1	0	0	104.10699	C5H13NO H+ 
0	0	0	0	0	0	0	0	105.018158	 
7	0	4	1	0	1	0	0	105.033491	C7H4O H+ 
4	0	8	1	0	3	0	0	105.054621	C4H8O3 H+ 
8	0	8	1	0	0	0	0	105.069876	C8H8 H+ 
5	0	12	1	0	2	0	0	105.091006	C5H12O2 H+ 
0	0	0	0	0	0	0	0	105.954834	 
0	0	0	0	0	0	0	0	106.0217209	 
3	0	7	1	1	3	0	0	106.04987	C3H7NO3 H+ 
7	0	7	1	1	0	0	0	106.065125	C7H7N H+ 
0	0	0	0	0	0	0	0	106.0774689	 
4	0	11	1	1	2	0	0	106.086255	C4H11NO2 H+ 
7	0	6	1	0	1	0	0	107.049141	C7H6O H+ 
4	0	10	1	0	3	0	0	107.070271	C4H10O3 H+ 
8	0	10	1	0	0	0	0	107.085526	C8H10 H+ 
0	0	0	0	0	0	0	0	107.9501801	 
2	0	5	1	1	4	0	0	108.029135	C2H5NO4 H+ 
6	0	5	1	1	1	0	0	108.04439	C6H5NO H+ 
7	0	9	1	1	0	0	0	108.080775	C7H9N H+ 
7	0	8	1	0	1	0	0	109.064791	C7H8O H+ 
8	0	12	1	0	0	0	0	109.101176	C8H12 H+ 
3	0	11	1	1	3	0	0	110.08117	C3H11NO3 H+ 
4	0	15	1	1	2	0	0	110.117555	C4H15NO2 H+ 
6	0	6	1	0	2	0	0	111.044056	C6H6O2 H+ 
7	0	10	1	0	1	0	0	111.080441	C7H10O H+ 
8	0	14	1	0	0	0	0	111.116826	C8H14 H+ 
5	0	5	1	1	2	0	0	112.039305	C5H5NO2 H+ 
0	0	0	0	0	0	0	0	112.0552139	 
6	0	9	1	1	1	0	0	112.07569	C6H9NO H+ 
3	0	13	1	1	3	0	0	112.09682	C3H13NO3 H+ 
7	0	13	1	1	0	0	0	112.112075	C7H13N H+ 
0	0	0	0	0	0	0	0	112.1244202	 
5	0	4	1	0	3	0	0	113.023321	C5H4O3 H+ 
6	0	8	1	0	2	0	0	113.059706	C6H8O2 H+ 
7	0	12	1	0	1	0	0	113.096091	C7H12O H+ 
8	0	16	1	0	0	0	0	113.132476	C8H16 H+ 
4	0	3	1	1	3	0	0	114.01857	C4H3NO3 H+ 
0	0	0	0	0	0	0	0	114.0297928	 
5	0	7	1	1	2	0	0	114.054955	C5H7NO2 H+ 
6	0	11	1	1	1	0	0	114.09134	C6H11NO H+ 
7	0	15	1	1	0	0	0	114.127725	C7H15N H+ 
5	0	6	1	0	3	0	0	115.038971	C5H6O3 H+ 
6	0	10	1	0	2	0	0	115.075356	C6H10O2 H+ 
7	0	14	1	0	1	0	0	115.111741	C7H14O H+ 
4	0	5	1	1	3	0	0	116.03422	C4H5NO3 H+ 
5	0	9	1	1	2	0	0	116.070605	C5H9NO2 H+ 
6	0	13	1	1	1	0	0	116.10699	C6H13NO H+ 
7	0	17	1	1	0	0	0	116.143375	C7H17N H+ 
4	0	4	1	0	4	0	0	117.018236	C4H4O4 H+ 
5	0	8	1	0	3	0	0	117.054621	C5H8O3 H+ 
9	0	8	1	0	0	0	0	117.069876	C9H8 H+ 
6	0	12	1	0	2	0	0	117.091006	C6H12O2 H+ 
4	0	7	1	1	3	0	0	118.04987	C4H7NO3 H+ 
8	0	7	1	1	0	0	0	118.065125	C8H7N H+ 
5	0	11	1	1	2	0	0	118.086255	C5H11NO2 H+ 
4	0	6	1	0	4	0	0	119.033886	C4H6O4 H+ 
8	0	6	1	0	1	0	0	119.049141	C8H6O H+ 
5	0	10	1	0	3	0	0	119.070271	C5H10O3 H+ 
9	0	10	1	0	0	0	0	119.085526	C9H10 H+ 
6	0	14	1	0	2	0	0	119.106656	C6H14O2 H+ 
0	0	0	0	0	0	0	0	119.9508286	 
3	0	5	1	1	4	0	0	120.029135	C3H5NO4 H+ 
7	0	5	1	1	1	0	0	120.04439	C7H5NO H+ 
4	0	9	1	1	3	0	0	120.06552	C4H9NO3 H+ 
8	0	9	1	1	0	0	0	120.080775	C8H9N H+ 
5	0	13	1	1	2	0	0	120.101905	C5H13NO2 H+ 
0	0	0	0	0	0	0	0	121.0329208	 
8	0	8	1	0	1	0	0	121.064791	C8H8O H+ 
5	0	12	1	0	3	0	0	121.085921	C5H12O3 H+ 
9	0	12	1	0	0	0	0	121.101176	C9H12 H+ 
6	0	3	1	1	2	0	0	122.023655	C6H3NO2 H+ 
0	0	0	0	0	0	0	0	122.0360565	 
3	0	7	1	1	4	0	0	122.044785	C3H7NO4 H+ 
7	0	7	1	1	1	0	0	122.06004	C7H7NO H+ 
4	0	11	1	1	3	0	0	122.08117	C4H11NO3 H+ 
8	0	11	1	1	0	0	0	122.096425	C8H11N H+ 
5	0	15	1	1	2	0	0	122.117555	C5H15NO2 H+ 
7	0	6	1	0	2	0	0	123.044056	C7H6O2 H+ 
8	0	10	1	0	1	0	0	123.080441	C8H10O H+ 
9	0	14	1	0	0	0	0	123.116826	C9H14 H+ 
6	0	5	1	1	2	0	0	124.039305	C6H5NO2 H+ 
3	0	9	1	1	4	0	0	124.060435	C3H9NO4 H+ 
4	0	13	1	1	3	0	0	124.09682	C4H13NO3 H+ 
8	0	13	1	1	0	0	0	124.112075	C8H13N H+ 
5	0	17	1	1	2	0	0	124.133205	C5H17NO2 H+ 
0	0	0	0	0	0	0	0	124.9145813	 
6	0	4	1	0	3	0	0	125.023321	C6H4O3 H+ 
7	0	8	1	0	2	0	0	125.059706	C7H8O2 H+ 
8	0	12	1	0	1	0	0	125.096091	C8H12O H+ 
9	0	16	1	0	0	0	0	125.132476	C9H16 H+ 
0	0	0	0	0	0	0	0	125.9606552	 
6	0	7	1	1	2	0	0	126.054955	C6H7NO2 H+ 
0	0	0	0	0	0	0	0	126.0675888	 
7	0	11	1	1	1	0	0	126.09134	C7H11NO H+ 
4	0	15	1	1	3	0	0	126.11247	C4H15NO3 H+ 
